MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,OceanProximity,MedianHouseValue
4.514,47.7,4.59,0.92,626.0,2.92,35.492,-114.99,<1H OCEAN,288.6
2.547,46.7,2.84,0.49,814.0,3.19,40.107,-116.193,<1H OCEAN,168.9
2.317,51.2,2.57,0.57,806.0,3.13,41.481,-122.832,NEAR BAY,168.7
6.903,21.5,7.81,1.56,1148.0,3.52,39.606,-116.824,<1H OCEAN,304.4
6.072,42.7,7.24,1.26,1253.0,3.42,34.152,-116.154,INLAND,288.0
0.901,22.2,2.0,0.54,542.0,3.74,36.218,-115.521,<1H OCEAN,116.2
3.695,24.2,4.95,1.03,2093.0,3.18,39.714,-115.052,NEAR BAY,214.5
8.61,43.3,9.31,1.82,1023.0,3.25,41.116,-119.208,<1H OCEAN,422.1
1.513,10.0,2.0,0.37,208.0,3.0,41.987,-117.749,<1H OCEAN,96.9
1.368,12.2,2.0,0.28,1274.0,3.84,37.36,-124.204,<1H OCEAN,121.2
2.067,17.1,2.0,0.39,2120.0,4.47,40.314,-118.572,NEAR OCEAN,153.5
2.443,41.2,2.55,0.58,546.0,3.6,32.943,-119.568,<1H OCEAN,196.2
1.024,20.0,2.4,0.65,246.0,3.4,35.215,-114.677,NEAR OCEAN,158.6
1.526,19.3,2.0,0.39,2175.0,2.83,36.029,-115.283,INLAND,99.8
0.957,51.9,2.0,0.4,4690.0,3.19,41.767,-116.324,<1H OCEAN,130.8
3.623,20.6,3.49,0.82,296.0,2.68,32.532,-123.73,<1H OCEAN,201.0
3.579,13.6,4.63,0.81,3537.0,2.51,35.426,-120.28,NEAR OCEAN,252.7
6.938,32.8,8.12,1.64,734.0,2.84,41.339,-117.34,<1H OCEAN,369.4
3.8,41.9,4.69,0.86,3605.0,4.43,35.413,-124.003,NEAR OCEAN,252.3
4.507,4.5,5.67,1.15,1456.0,2.93,34.638,-121.942,<1H OCEAN,232.5
4.787,32.6,5.47,1.19,2851.0,4.3,39.436,-115.425,INLAND,222.8
1.698,2.8,2.27,0.29,2049.0,2.22,39.581,-123.002,INLAND,79.8
1.56,27.8,2.0,0.51,234.0,3.11,36.986,-123.786,INLAND,77.6
1.402,14.1,2.0,0.44,281.0,3.58,41.496,-118.494,<1H OCEAN,130.0
2.438,16.6,3.17,0.65,1095.0,3.62,34.426,-114.835,NEAR OCEAN,181.6
2.31,24.8,2.49,0.63,367.0,2.13,41.177,-115.954,NEAR OCEAN,242.6
3.342,48.3,3.51,0.62,942.0,2.03,39.677,-114.552,INLAND,159.8
5.003,37.2,5.76,1.02,3911.0,3.5,35.998,-116.765,INLAND,238.1
4.502,48.8,5.93,1.08,619.0,2.56,40.166,-119.926,INLAND,208.1
2.297,34.7,3.21,0.7,1005.0,3.51,33.765,-114.834,NEAR BAY,171.6
2.04,1.4,2.81,0.51,782.0,4.15,33.744,-120.034,NEAR BAY,111.1
2.209,14.5,3.4,0.59,1393.0,2.48,41.334,-120.799,<1H OCEAN,171.5
2.399,47.2,2.88,0.48,459.0,2.58,33.4,-119.818,<1H OCEAN,167.4
1.153,33.8,2.0,0.42,561.0,1.38,32.539,-116.16,NEAR BAY,124.8
3.831,51.1,3.6,0.72,2549.0,3.64,36.196,-115.123,<1H OCEAN,242.8
8.637,9.0,9.91,1.84,2201.0,4.7,33.487,-120.723,NEAR BAY,388.6
3.235,16.1,4.14,0.69,2068.0,2.0,40.699,-119.678,INLAND,91.4
3.324,19.5,4.42,0.83,1968.0,4.0,41.266,-115.317,<1H OCEAN,219.7
4.163,17.7,4.35,0.96,938.0,4.07,37.083,-123.83,<1H OCEAN,233.5
1.498,13.9,2.0,0.36,1766.0,3.63,36.542,-116.461,INLAND,36.2
2.082,23.6,3.58,0.57,788.0,2.52,37.621,-119.758,NEAR OCEAN,153.9
2.227,33.8,2.63,0.52,327.0,2.81,34.649,-120.535,<1H OCEAN,159.6
1.451,16.9,2.46,0.5,800.0,3.44,35.331,-119.831,<1H OCEAN,119.9
7.639,5.1,9.34,1.72,407.0,3.42,33.459,-120.113,NEAR BAY,355.3
4.92,37.1,6.19,1.12,795.0,2.8,36.741,-116.734,<1H OCEAN,305.4
5.126,24.4,5.7,1.21,624.0,3.37,38.311,-115.021,INLAND,191.2
2.583,29.4,2.29,0.34,1297.0,2.71,41.337,-119.385,INLAND,131.1
3.484,24.2,4.54,0.99,738.0,2.91,39.521,-115.973,<1H OCEAN,221.7
2.445,46.4,3.09,0.46,1667.0,2.84,39.369,-116.981,<1H OCEAN,197.4
2.79,29.5,3.38,0.52,1061.0,3.88,35.426,-120.993,<1H OCEAN,203.1
3.335,48.1,3.34,0.67,3223.0,1.86,40.939,-118.427,<1H OCEAN,224.2
2.893,27.0,3.29,0.58,315.0,3.52,41.496,-117.632,INLAND,142.3
3.31,15.9,3.66,0.68,1597.0,3.29,41.356,-124.065,INLAND,138.5
