customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,TechSupport,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,DataVersion
7590-VHVEG0000,Female,0,No,No,52,Yes,DSL,No internet service,One year,Bank transfer,21.75,1148.3,No,v1.0
7590-VHVEG0001,Female,0,No,Yes,15,Yes,DSL,No,Two year,Mailed check,116.8,1830.88,No,v1.0
7590-VHVEG0002,Female,1,Yes,Yes,61,Yes,Fiber optic,No internet service,Two year,Mailed check,61.92,3815.25,No,v1.0
7590-VHVEG0003,Female,0,Yes,No,21,Yes,Fiber optic,No,Two year,Mailed check,57.66,1240.44,No,v1.0
7590-VHVEG0004,Female,0,No,No,24,Yes,Fiber optic,Yes,Month-to-month,Mailed check,86.61,2079.83,No,v1.0
7590-VHVEG0005,Male,0,Yes,No,3,Yes,No,No,Month-to-month,Mailed check,41.39,125.83,Yes,v1.0
7590-VHVEG0006,Male,0,Yes,No,22,No,Fiber optic,Yes,Month-to-month,Bank transfer,113.1,2381.36,Yes,v1.0
7590-VHVEG0007,Female,0,Yes,No,53,Yes,No,No,Month-to-month,Bank transfer,97.06,5017.93,No,v1.0
7590-VHVEG0008,Female,0,Yes,Yes,2,Yes,DSL,No,One year,Mailed check,28.76,56.73,No,v1.0
7590-VHVEG0009,Male,0,Yes,No,30,Yes,Fiber optic,No,Month-to-month,Bank transfer,60.92,1822.66,No,v1.0
7590-VHVEG0010,Female,1,Yes,Yes,38,Yes,No,Yes,Two year,Bank transfer,106.15,3850.56,No,v1.0
7590-VHVEG0011,Female,0,Yes,No,2,Yes,DSL,Yes,One year,Mailed check,112.58,217.06,Yes,v1.0
7590-VHVEG0012,Female,0,No,Yes,64,Yes,DSL,No,One year,Credit card,65.81,4117.55,No,v1.0
7590-VHVEG0013,Female,0,Yes,No,60,Yes,No,No internet service,Month-to-month,Bank transfer,80.11,5033.52,No,v1.0
7590-VHVEG0014,Female,0,No,Yes,21,Yes,Fiber optic,No,Month-to-month,Credit card,36.37,750.87,Yes,v1.0
7590-VHVEG0015,Male,0,Yes,No,33,Yes,Fiber optic,No,Month-to-month,Bank transfer,117.13,3858.5,Yes,v1.0
7590-VHVEG0016,Male,0,No,Yes,58,Yes,DSL,No,Month-to-month,Bank transfer,42.7,2401.55,No,v1.0
7590-VHVEG0017,Female,0,Yes,No,22,Yes,Fiber optic,No,Month-to-month,Mailed check,112.39,2499.92,Yes,v1.0
7590-VHVEG0018,Male,0,No,Yes,49,Yes,Fiber optic,Yes,One year,Bank transfer,83.67,4009.69,No,v1.0
7590-VHVEG0019,Female,0,Yes,No,59,Yes,Fiber optic,No,Two year,Electronic check,79.56,4556.4,No,v1.0
7590-VHVEG0020,Female,0,No,No,42,Yes,Fiber optic,Yes,Two year,Electronic check,70.24,2955.12,No,v1.0
7590-VHVEG0021,Female,0,Yes,No,60,Yes,DSL,No internet service,One year,Mailed check,42.61,2429.93,No,v1.0
7590-VHVEG0022,Female,0,Yes,No,15,Yes,Fiber optic,Yes,Month-to-month,Credit card,37.3,531.95,No,v1.0
7590-VHVEG0023,Female,0,No,No,62,Yes,DSL,No,Two year,Credit card,41.61,2507.2,No,v1.0
7590-VHVEG0024,Female,0,No,No,62,Yes,DSL,Yes,Two year,Credit card,38.27,2262.87,No,v1.0
7590-VHVEG0025,Female,0,Yes,No,47,No,Fiber optic,Yes,Month-to-month,Electronic check,96.4,4353.17,Yes,v1.0
7590-VHVEG0026,Female,0,No,No,62,Yes,Fiber optic,No,One year,Credit card,54.31,3313.1,No,v1.0
7590-VHVEG0027,Female,0,No,Yes,51,Yes,DSL,Yes,Month-to-month,Credit card,25.67,1348.71,No,v1.0
7590-VHVEG0028,Male,0,Yes,No,55,Yes,Fiber optic,Yes,Two year,Mailed check,114.97,6369.02,No,v1.0
7590-VHVEG0029,Female,0,No,Yes,64,Yes,DSL,No,Two year,Credit card,106.61,6831.75,No,v1.0
7590-VHVEG0030,Male,1,Yes,No,3,Yes,No,Yes,Month-to-month,Electronic check,110.92,325.89,Yes,v1.0
7590-VHVEG0031,Male,0,No,Yes,51,Yes,Fiber optic,Yes,Two year,Electronic check,117.5,6251.28,Yes,v1.0
7590-VHVEG0032,Female,0,Yes,No,7,Yes,DSL,No internet service,One year,Electronic check,37.04,256.62,Yes,v1.0
7590-VHVEG0033,Male,0,No,Yes,21,Yes,DSL,No,Two year,Mailed check,58.83,1184.45,No,v1.0
7590-VHVEG0034,Female,1,Yes,No,39,Yes,Fiber optic,No internet service,Month-to-month,Mailed check,94.31,3721.04,No,v1.0
7590-VHVEG0035,Female,1,Yes,No,18,Yes,No,No internet service,Two year,Bank transfer,88.21,1526.47,No,v1.0
7590-VHVEG0036,Female,0,No,No,4,Yes,No,No,Month-to-month,Credit card,35.08,,No,v1.0
7590-VHVEG0037,Female,0,No,Yes,60,No,Fiber optic,Yes,Month-to-month,Mailed check,99.95,,Yes,v1.0
7590-VHVEG0038,Male,1,Yes,No,14,Yes,DSL,No,Month-to-month,Electronic check,42.0,609.93,Yes,v1.0
7590-VHVEG0039,Male,0,Yes,No,9,Yes,No,No internet service,Two year,Electronic check,41.93,377.16,No,v1.0
7590-VHVEG0040,Female,0,No,No,53,Yes,No,No,Two year,Mailed check,72.62,3926.9,No,v1.0
7590-VHVEG0041,Male,0,No,Yes,2,Yes,DSL,No,Two year,Mailed check,78.11,163.91,Yes,v1.0
7590-VHVEG0042,Male,0,No,No,60,Yes,DSL,Yes,Two year,Mailed check,76.85,4440.99,No,v1.0
7590-VHVEG0043,Male,0,No,No,71,Yes,Fiber optic,No internet service,Month-to-month,Bank transfer,28.97,2010.24,Yes,v1.0
7590-VHVEG0044,Female,0,No,Yes,44,Yes,No,No,Month-to-month,Electronic check,105.99,4614.45,No,v1.0
7590-VHVEG0045,Male,0,No,Yes,8,No,Fiber optic,No internet service,Month-to-month,Bank transfer,46.03,365.35,Yes,v1.0
7590-VHVEG0046,Male,0,Yes,No,47,Yes,DSL,Yes,Month-to-month,Bank transfer,32.69,1522.87,No,v1.0
7590-VHVEG0047,Male,0,No,No,35,Yes,Fiber optic,Yes,Month-to-month,Credit card,107.1,3901.2,Yes,v1.0
7590-VHVEG0048,Female,0,No,Yes,36,Yes,Fiber optic,Yes,Month-to-month,Electronic check,113.65,4179.11,No,v1.0
7590-VHVEG0049,Male,0,No,No,50,Yes,Fiber optic,No,Month-to-month,Electronic check,104.49,5280.8,Yes,v1.0
7590-VHVEG0050,Male,0,No,Yes,4,Yes,No,Yes,Month-to-month,Mailed check,99.33,389.76,Yes,v1.0
7590-VHVEG0051,Female,0,Yes,No,2,Yes,Fiber optic,Yes,Month-to-month,Mailed check,84.21,173.88,No,v1.0
7590-VHVEG0052,Male,1,Yes,No,6,Yes,DSL,No internet service,Month-to-month,Credit card,73.98,464.1,Yes,v1.0
7590-VHVEG0053,Female,0,Yes,Yes,54,Yes,Fiber optic,Yes,Two year,Bank transfer,28.52,1589.81,No,v1.0
