EmployeeID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,Attrition
EMP-00001,27,Sales,Healthcare Representative,11903.15,11,1,3,No,Yes
EMP-00002,25,Research & Development,Manufacturing Director,23226.1,11,1,4,No,No
EMP-00003,51,Research & Development,Laboratory Technician,5156.98,2,2,3,Yes,Yes
EMP-00004,47,Research & Development,Healthcare Representative,14517.69,5,2,2,No,No
EMP-00005,30,Sales,Sales Executive,1970.45,4,3,2,No,No
EMP-00006,47,Research & Development,Healthcare Representative,6936.98,6,1,1,No,No
EMP-00007,51,Research & Development,Research Scientist,3802.87,7,4,2,No,No
EMP-00008,27,Sales,Research Scientist,7755.88,3,4,3,No,No
EMP-00009,39,Research & Development,Manager,10602.88,16,2,4,Yes,No
EMP-00010,43,Research & Development,Manufacturing Director,1748.5,17,3,3,No,No
EMP-00011,46,Research & Development,Healthcare Representative,13833.06,1,1,1,No,No
EMP-00012,30,Research & Development,Manager,1817.66,8,3,2,No,No
EMP-00013,42,Research & Development,Laboratory Technician,7799.91,1,4,3,Yes,No
EMP-00014,41,Human Resources,Research Scientist,1822.07,1,3,3,No,No
EMP-00015,24,Sales,Sales Executive,10401.9,20,1,4,No,No
EMP-00016,53,Sales,Healthcare Representative,2532.25,8,4,4,Yes,No
EMP-00017,50,Sales,Laboratory Technician,4061.78,3,3,4,Yes,No
EMP-00018,56,Research & Development,Laboratory Technician,13638.39,7,3,3,No,No
EMP-00019,45,Sales,Laboratory Technician,8567.43,12,3,3,No,No
EMP-00020,42,Research & Development,Laboratory Technician,8433.28,13,2,2,No,No
EMP-00021,57,Research & Development,Manager,7984.9,1,3,1,No,No
EMP-00022,57,Research & Development,Research Scientist,5291.96,11,3,1,Yes,No
EMP-00023,51,Research & Development,Manufacturing Director,15111.38,12,4,2,Yes,No
EMP-00024,24,Research & Development,Healthcare Representative,9517.31,6,1,1,Yes,Yes
EMP-00025,44,Sales,Research Scientist,4111.5,5,3,4,Yes,No
EMP-00026,52,Research & Development,Manufacturing Director,7606.29,1,4,3,No,Yes
EMP-00027,26,Research & Development,Laboratory Technician,29714.29,2,2,4,Yes,No
EMP-00028,35,Research & Development,Sales Executive,10715.76,5,4,4,Yes,No
EMP-00029,48,Research & Development,Laboratory Technician,1505.51,13,1,4,Yes,Yes
EMP-00030,34,Sales,Manufacturing Director,7525.39,11,1,4,No,No
EMP-00031,39,Research & Development,Manufacturing Director,11767.3,5,2,3,No,No
EMP-00032,41,Research & Development,Sales Executive,3287.08,10,4,3,Yes,Yes
EMP-00033,29,Sales,Manager,18572.45,9,1,3,Yes,No
EMP-00034,27,Research & Development,Research Scientist,3808.47,6,3,4,No,No
EMP-00035,51,Sales,Manager,3960.41,2,1,4,No,No
EMP-00036,47,Research & Development,Sales Executive,2289.26,3,2,4,No,No
EMP-00037,28,Research & Development,Laboratory Technician,1957.13,2,3,3,Yes,No
EMP-00038,50,Research & Development,Healthcare Representative,4961.2,1,2,3,No,Yes
EMP-00039,42,Research & Development,Research Scientist,5654.64,1,2,4,No,No
EMP-00040,38,Sales,Healthcare Representative,3557.05,9,3,4,No,No
EMP-00041,51,Research & Development,Healthcare Representative,5698.29,1,4,3,No,No
EMP-00042,29,Research & Development,Research Scientist,3758.92,4,1,3,No,Yes
EMP-00043,39,Sales,Laboratory Technician,10618.6,27,3,4,No,No
EMP-00044,54,Research & Development,Manager,15338.74,10,2,3,No,No
EMP-00045,50,Sales,Manufacturing Director,5551.22,9,3,4,No,No
EMP-00046,30,Research & Development,Laboratory Technician,9811.05,2,4,2,No,No
EMP-00047,59,Sales,Manager,10150.71,7,4,3,No,No
EMP-00048,29,Research & Development,Manufacturing Director,7129.2,5,2,3,No,No
EMP-00049,28,Sales,Manufacturing Director,2459.38,7,3,3,No,Yes
EMP-00050,29,Research & Development,Research Scientist,2257.55,4,3,2,No,No
EMP-00051,56,Research & Development,Research Scientist,12836.86,5,4,2,No,No
EMP-00052,56,Research & Development,Sales Executive,2885.86,28,4,4,No,No
EMP-00053,26,Research & Development,Manager,2772.61,3,3,2,No,No
EMP-00054,39,Sales,Healthcare Representative,2317.54,2,4,2,No,No
EMP-00055,39,Sales,Healthcare Representative,4873.29,4,4,3,No,No
EMP-00056,27,Human Resources,Healthcare Representative,6585.43,5,3,3,No,No
EMP-00057,36,Research & Development,Healthcare Representative,6573.8,1,3,4,No,No
EMP-00058,57,Research & Development,Sales Executive,2861.38,11,3,3,No,No
EMP-00059,44,Research & Development,Manufacturing Director,1948.12,4,3,3,No,No
EMP-00060,32,Sales,Sales Executive,3171.15,4,3,3,Yes,No
EMP-00061,32,Research & Development,Manager,4650.18,7,3,4,No,No
EMP-00062,21,Sales,Research Scientist,5765.48,10,1,2,Yes,Yes
EMP-00063,56,Sales,Laboratory Technician,18174.45,27,4,3,No,No
EMP-00064,30,Sales,Manufacturing Director,2410.4,2,4,4,No,No
EMP-00065,39,Research & Development,Manufacturing Director,9791.15,3,1,3,No,No
EMP-00066,28,Research & Development,Sales Executive,10281.33,2,4,3,Yes,No
EMP-00067,48,Sales,Research Scientist,2978.0,14,3,2,No,No
EMP-00068,53,Sales,Research Scientist,5195.57,5,3,3,Yes,No
EMP-00069,24,Sales,Manager,4107.79,12,3,2,No,No
EMP-00070,50,Research & Development,Manufacturing Director,2189.01,26,3,2,No,No
EMP-00071,45,Research & Development,Sales Executive,14204.53,5,3,3,No,No
EMP-00072,56,Research & Development,Healthcare Representative,1544.24,1,4,4,Yes,No
EMP-00073,39,Research & Development,Manufacturing Director,2434.8,3,3,2,Yes,Yes
EMP-00074,27,Research & Development,Healthcare Representative,3407.92,1,3,2,No,No
EMP-00075,25,Sales,Laboratory Technician,10235.18,12,3,2,Yes,No
EMP-00076,37,Sales,Research Scientist,8494.16,1,4,3,No,No
EMP-00077,27,Research & Development,Manufacturing Director,5402.51,6,1,3,No,No
