PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,1,1,"Passenger, Traveler 1",female,22.2,0,1,85.37,,S
2,0,2,"Passenger, Traveler 2",male,23.2,0,1,36.99,,S
3,1,1,"Passenger, Traveler 3",female,60.6,0,0,162.66,,S
4,1,2,"Passenger, Traveler 4",female,40.9,0,0,19.52,,S
5,1,3,"Passenger, Traveler 5",female,28.0,1,0,15.06,,S
6,0,3,"Passenger, Traveler 6",male,36.2,0,0,7.97,,S
7,0,2,"Passenger, Traveler 7",male,43.1,2,0,24.57,,S
8,1,1,"Passenger, Traveler 8",female,33.9,0,1,173.07,,S
9,0,3,"Passenger, Traveler 9",male,14.7,0,0,42.78,C93,S
10,1,1,"Passenger, Traveler 10",male,27.7,0,0,68.99,,S
11,0,1,"Passenger, Traveler 11",male,15.5,0,1,131.15,,C
12,0,3,"Passenger, Traveler 12",male,,0,2,10.73,,S
13,0,3,"Passenger, Traveler 13",female,27.4,0,0,6.48,,S
14,0,3,"Passenger, Traveler 14",female,,2,0,11.08,C14,S
15,0,1,"Passenger, Traveler 15",male,,0,0,57.31,,S
16,0,3,"Passenger, Traveler 16",male,17.0,2,0,27.51,,S
17,1,1,"Passenger, Traveler 17",female,19.3,0,0,100.21,,Q
18,0,3,"Passenger, Traveler 18",male,20.9,0,0,16.94,C102,S
19,1,2,"Passenger, Traveler 19",female,25.1,0,2,22.53,,C
20,0,2,"Passenger, Traveler 20",male,34.5,1,0,50.05,,S
21,1,3,"Passenger, Traveler 21",female,18.3,0,2,61.22,,S
22,0,3,"Passenger, Traveler 22",female,31.4,2,2,7.26,,C
23,0,3,"Passenger, Traveler 23",male,31.5,0,0,19.13,,S
24,0,3,"Passenger, Traveler 24",male,37.7,1,0,12.71,C35,S
25,0,3,"Passenger, Traveler 25",male,26.6,0,0,41.25,,S
26,0,3,"Passenger, Traveler 26",female,41.8,0,0,21.59,C60,S
27,0,3,"Passenger, Traveler 27",male,35.1,0,1,69.19,,S
28,0,3,"Passenger, Traveler 28",male,,0,0,12.88,,C
29,1,1,"Passenger, Traveler 29",male,21.7,0,0,49.86,C47,S
30,0,2,"Passenger, Traveler 30",female,33.7,0,1,24.7,,Q
31,1,3,"Passenger, Traveler 31",female,34.8,0,0,16.42,,S
32,0,3,"Passenger, Traveler 32",male,,0,0,18.89,C12,S
33,0,1,"Passenger, Traveler 33",male,47.0,0,0,76.11,C94,S
34,0,1,"Passenger, Traveler 34",male,67.7,0,0,308.6,,S
35,1,3,"Passenger, Traveler 35",male,20.2,0,3,6.68,,S
36,1,3,"Passenger, Traveler 36",male,22.9,4,1,24.79,,S
37,0,3,"Passenger, Traveler 37",male,23.2,3,0,5.66,,Q
38,1,1,"Passenger, Traveler 38",female,,0,0,54.43,,C
39,0,3,"Passenger, Traveler 39",male,17.0,8,0,7.09,,S
40,1,1,"Passenger, Traveler 40",female,42.1,0,0,115.74,,S
41,0,1,"Passenger, Traveler 41",male,28.5,0,0,82.66,,Q
42,1,1,"Passenger, Traveler 42",male,57.5,0,0,32.33,C68,S
43,0,3,"Passenger, Traveler 43",male,25.5,2,0,5.0,,C
44,1,3,"Passenger, Traveler 44",female,35.7,0,2,4.72,,S
45,0,3,"Passenger, Traveler 45",male,16.6,1,0,11.02,C22,S
46,1,2,"Passenger, Traveler 46",female,28.1,1,0,22.31,,Q
47,0,3,"Passenger, Traveler 47",male,31.0,0,0,7.96,,S
48,0,3,"Passenger, Traveler 48",male,0.4,0,6,15.72,,C
49,1,3,"Passenger, Traveler 49",female,17.7,0,1,4.63,C104,S
50,0,3,"Passenger, Traveler 50",male,38.9,0,1,23.47,,S
51,0,2,"Passenger, Traveler 51",male,38.1,0,0,10.55,,C
52,0,3,"Passenger, Traveler 52",male,11.6,0,0,46.33,C90,S
53,0,3,"Passenger, Traveler 53",female,24.5,0,0,31.57,,C
54,1,3,"Passenger, Traveler 54",female,0.4,0,0,8.4,C44,S
55,0,3,"Passenger, Traveler 55",male,,0,0,9.1,,S
56,0,1,"Passenger, Traveler 56",male,48.0,0,2,180.56,C96,S
57,1,3,"Passenger, Traveler 57",female,48.6,0,0,5.44,,S
58,0,3,"Passenger, Traveler 58",female,48.1,0,0,7.77,C12,C
59,1,1,"Passenger, Traveler 59",male,37.3,0,0,67.65,C62,S
60,0,3,"Passenger, Traveler 60",female,46.5,2,0,10.07,C64,S
61,0,2,"Passenger, Traveler 61",male,27.0,0,0,10.99,,C
62,0,2,"Passenger, Traveler 62",male,22.1,0,0,26.4,C54,S
63,0,3,"Passenger, Traveler 63",male,46.2,1,0,4.27,,C
64,0,3,"Passenger, Traveler 64",male,33.9,0,1,16.71,,Q
65,1,1,"Passenger, Traveler 65",male,,1,0,222.14,C75,S
66,0,2,"Passenger, Traveler 66",female,47.3,0,1,10.34,,S
67,0,1,"Passenger, Traveler 67",male,26.5,1,1,35.63,,S
68,0,1,"Passenger, Traveler 68",male,20.0,2,1,157.53,,C
69,1,1,"Passenger, Traveler 69",male,,0,0,166.2,,S
70,1,1,"Passenger, Traveler 70",female,41.9,0,0,153.22,,C
